Temperatura Bulbo Húmedo ValueY;Presión Atmosferica ValueY;T amb ValueY;Potencia TG ValueY
14,80002022;966,666687;20,63512802;13069,48262
15,10002136;966,944458;21,30786896;13190,39111
15,70002365;966,7592773;22,29455948;12743,76973
16,30002594;966,666687;24,04369354;13098,10566
15,40002251;966,5740845;24,13339233;12578,44531
12,60001183;961,5740967;13,6385994;12952,02852
13,20001411;962,1295898;14,17679214;13609,37646
13,70001602;961,5740967;14,8495369;13523,01299
14,50001907;962,8704102;15,38772964;13441,09141
13,90001678;961,5740967;15,02893448;13510,67568
13,40001488;961,5740967;14,93923569;13566,93506
13,20001411;961,5740967;14,93923569;12588,31572
13,3000145;962,0369873;14,26649475;12507,38105
12,80001259;961,5740967;14,04224396;13395,68926
12,90001297;961,5740967;14,08709335;13298,46865
12,70001221;960,833313;13,72829819;12728,4708
12,30001068;960,6481323;13,36950302;12801,50957
11,80000877;960,2777222;12,69675827;12526,62734
11,20000648;959,722229;12,20341492;12888,85977
11,70000839;960,6481323;12,78645706;13456,88379
14,10001755;961,7592529;16,0604744;13573,35059
14,40001869;963,888916;16,55381775;13453,42891
15,00002098;964,5370728;17,63020706;13393,22158
15,30002213;965,0000122;17,2714119;13363,61123
14,80002022;966,5740723;18,75144577;13328,57266
15,20002174;967,0370728;19,24479294;13323,14385
14,50001907;967,6852295;20,41088104;13231,8457
15,10002136;965,277771;20,8145256;12507,87451
15,40002251;965,9259399;20,59027863;12988,0543
15,00002098;963,9815063;20,50057983;12613,48447
14,30001831;964,0740967;18,61689758;13365,58535
14,80002022;964,5370728;17,67505646;13372,49434
14,40001869;963,888916;16,15017319;13461,3252
14,80002022;964,2592773;16,73321915;13458,36387
14,50001907;964,2592773;16,50896835;12501,45869
13,50001526;963,888916;15,25318146;13489,94844
14,40001869;963,9815063;16,10532379;13499,3251
13,70001602;963,888916;14,44589233;13505,24707
13,40001488;963,7037109;13,90769577;13506,72764
13,3000145;963,7037109;13,77314758;13470,70176
13,3000145;963,888916;13,81799698;13469,2209
13,20001411;963,888916;13,81799698;13501,29902
13,10001373;963,9815063;13,50405121;13480,57168
13,60001564;963,888916;14,89438629;13484,02637
14,60001945;967,5926514;17,54050827;13472,18213
14,9000206;966,7592529;17,63020706;13369,5332
15,40002251;970,0925781;18,70659637;13337,94912
16,10002518;968,9814453;20,27633286;13241,71563
17,10002899;969,6296143;21,48727036;13087,74238
17,00002861;969,0740479;22,87760544;13135,61201
16,30002594;969,3518555;23,3260994;13118,83311
16,10002518;968,9814453;23,86429214;13139,56016
15,80002403;967,5926514;24,17824173;13130,67695
15,50002289;967,0370483;24,80613327;13155,8459
14,80002022;968,8888672;23,99884415;13229,37803
15,10002136;968,055542;22,74305725;13261,45586
16,10002518;967,5926514;22,24971008;13290,0791
14,9000206;966,666687;18,97569275;13417,40313
14,20001793;966,4814819;18,03385544;13505,24727
13,90001678;966,2036743;17,45080948;13554,104
13,3000145;965,277771;16,32957077;13615,29854
13,00001335;965,277771;15,92592621;13610,36338
12,60001183;964,5370728;15,34288025;13652,80479
12,50001144;964,5370728;14,93923569;13689,81777
