Temperatura ambiente TG ValueY;Temperatura Bulbo Humedo ValueY;Presion Atmosferica ValueY;Potencia TG ValueY
11,03732681;9,299999237;961,6666504;14046,62168
10,49913025;9,199998856;960,1851929;14044,64756
10,27488327;9,099998474;961,2963135;14040,20576
10,40943146;9,099998474;961,4814941;14047,11523
9,602142334;8,399995804;962,6852173;14133,97188
9,691841125;8,199995041;962,1296143;14162,10166
9,512443542;8,299995422;962,1296509;14170,98486
8,211803436;7,299995422;963,7036987;14226,25723
7,942710876;7,099995613;959,9073975;14247,47803
7,942710876;6,999995708;961,6666626;14289,42598
8,032409668;6,999995708;960,2777588;14280,04951
8,256652832;7,199995518;962,6851563;14253,89365
7,942710876;6,899995804;961,7592773;14288,43896
7,494213104;6,59999609;962,1296509;14294,36133
7,673610687;6,899995804;960,3703613;14270,67266
7,5390625;6,699995995;961,2963013;14289,91943
7,987560272;6,899995804;962,5926025;14251,42607
7,180263519;6,399996281;961,6666748;14325,94531
6,956016541;5,999996662;961,2962769;14358,5166
6,552371979;5,799996853;961,7592529;14370,36074
6,148727417;5,499997139;963,888916;14375,2958
5,924476624;5,29999733;963,7963135;14399,9707
5,745079041;5,09999752;963,1481812;14453,76299
5,745079041;5,09999752;961,4814941;14430,56836
6,193576813;5,599997044;964,0740967;14391,0875
6,956016541;6,299996376;965,3703857;14349,6335
8,480903625;7,499995232;966,4814697;14257,34824
9,602142334;8,299995422;966,8518677;14207,01055
10,05063629;8,399995804;967,592627;14155,19238
10,54397964;8,599996567;966,8518677;14176,90693
10,81307983;8,599996567;968,0555664;14145,81611
11,39612198;8,699996948;966,8518677;14133,97207
12,15856552;8,999998093;968,3333496;14110,77744
12,29311371;8,899997711;967,222229;14091,53076
12,96585464;9,099998474;966,7592529;14089,55664
13,50405121;9,600000381;967,6851563;14037,24502
13,77314758;9,600000381;969,6296143;14063,89443
13,5489006;9,600000381;966,3889282;14045,63447
13,50405121;9,5;967,5925781;14027,86836
13,90769577;9,800001144;969,4444214;14033,29707
13,45920181;9,800001144;968,4259155;14050,07627
13,27980423;9,700000763;967,5926025;14053,53066
14,8046875;10,50000381;968,5185425;14044,1542
14,22164536;10,20000267;967,6851563;14042,67344
13,05555725;10,20000267;965,3703979;14042,67363
11,79977036;9,900001526;966,8518433;14091,03721
10,05063629;8,79999733;965,7407593;14150,25781
9,736690521;8,499996185;966,3889038;14186,2834
9,467594147;8,199995041;965,7407593;14197,63379
9,288192749;7,999994755;963,5185425;14222,30918
9,019096375;7,799994946;966,8518677;14240,56885
8,570602417;7,499995232;965,0925903;14254,3873
9,243343353;7,799994946;963,888916;14247,47803
9,198493958;7,799994946;965,9259155;14246,49092
9,153644562;7,699995041;966,3888916;14270,67275
8,705150604;7,399995327;966,2037109;14292,88066
8,301502228;7,199995518;964,8148315;14291,89375
8,615451813;7,399995327;963,1481445;14253,3999
8,480903625;7,299995422;963,888916;14242,54287
8,884548187;7,599995136;964,3518677;14211,45205
9,826389313;8,099994659;963,9815063;14201,08867
9,557292938;8,099994659;964,2592773;14171,97158
10,54397964;8,699996948;965,7407471;14156,17949
11,35127258;8,999998093;965,1851807;14139,89404
10,36458206;8,699996948;963,1481567;14139,40059
10,05063629;8,399995804;964,166687;14193,19248
11,71006775;9,5;964,3518799;14101,89414
12,3379631;9,600000381;965,3703735;14094,98506
11,93431854;9,399999619;964,722229;14089,06309
12,69675827;9,700000763;966,2963013;14115,21875
12,69675827;9,900001526;964,6296509;14048,5958
12,78645706;9,900001526;963,2407715;14086,5958
12,78645706;10,10000229;965,5555786;14073,76426
12,87615585;9,900001526;966,4814819;14075,73848
13,59375;10,6000042;968,333313;14042,18008
15,16348267;11,40000725;967,7777954;14003,19326
15,88107681;11,30000687;968,333313;13990,36201
15,92592621;12,00000954;969,9999756;13940,51826
16,32957077;11,80000877;969,3518555;13939,0376
16,95746613;12,30001068;969,7222168;13906,4667
16,19502258;12,10000992;968,8889038;13881,29766
16,10532379;12,40001106;967,7777954;13821,58379
15,56713104;12,10000992;968,7962891;13853,16768
16,37442017;12,60001183;969,0740845;13855,1418
16,86776733;12,90001297;967,5000366;13858,59629
15,52228165;12,90001297;968,1481567;13858,10322
15,20833206;13,3000145;966,8518555;13850,20703
14,22164536;13,3000145;967,3148438;13806,28516
14,08709335;13,60001564;966,5740601;13762,85664
13,72829819;13,3000145;967,6851929;13763,84336
13,72829819;13,40001488;968,7963013;13758,41494
13,72829819;13,40001488;968,2407349;13795,92139
13,90769577;13,50001526;968,4259521;13803,32402
14,04224396;13,50001526;968,6111328;13807,76533
14,13194275;13,50001526;968,1481934;13848,23311
13,81799698;13,10001373;968,9814697;13828,49248
13,45920181;12,90001297;970,1851563;13851,6875
13,6385994;13,00001335;969,9074097;13868,95967
13,50405121;12,90001297;970,0925659;13898,57021
12,56221008;12,00000954;971,111084;13947,42764
12,20341492;11,70000839;969,907373;13971,11563
11,75491714;11,1000061;969,1666748;14030,33633
12,02401733;11,40000725;970,1851807;14039,21875
11,79977036;11,20000648;969,7222168;13991,84248
11,2167244;10,6000042;968,2407837;14062,41387
11,08217621;10,50000381;967,592627;14042,67354
10,27488327;9,600000381;968,2407715;14135,45254
9,602142334;9,099998474;968,1481689;14166,04951
9,467594147;8,899997711;967,1296387;14174,93252
9,288192749;8,699996948;967,0370605;14183,81602
10,14033508;9,5;968,7963135;14126,56953
10,58883286;10,00000191;968,8888916;14087,08916
10,67853165;9,900001526;966,8518677;14093,01084
10,76823044;10,10000229;966,7592651;14088,07607
10,72338104;10,10000229;966,9444458;14032,30977
10,94762802;10,30000305;966,944458;14037,73838
11,171875;10,50000381;966,7592773;14020,95947
11,57551956;10,90000534;965,7407349;13998,75186
12,47251129;11,40000725;967,8703613;13981,97246
12,51736069;11,40000725;968,6111328;13979,01162
11,88946915;11,1000061;968,7962769;13990,85557
12,29311371;11,60000801;969,6296143;13936,57002
13,95254517;12,70001221;968,2407227;13892,15479
14,62528992;13,3000145;969,4444458;13823,55771
16,32957077;13,8000164;971,2962646;13791,47998
18,03385544;14,50001907;970;13713,9999
17,67505646;14,20001793;971,0184937;13705,61016
19,96238327;15,70002365;970,2777588;13620,23379
19,78298569;15,40002251;969,9999878;13594,07803
18,75144577;14,80002022;969,4444214;13597,53252
17,58535767;14,30001831;967,9630005;13628,62324
16,55381775;14,30001831;966,8518433;13637,9999
16,46411896;14,60001945;967,1296021;13628,62344
16,0604744;14,70001984;964,8148071;13636,02588
15,43258286;14,70001984;966,6666992;13625,6623
14,8495369;14,40001869;964,9074341;13665,63623
14,44589233;14,00001717;962,7777588;13672,54512
14,49074173;14,00001717;966,0184937;13665,63623
13,5489006;13,10001373;964,6296387;13757,92188
12,92100525;12,50001144;964,3518677;13817,14219
12,65190887;12,2000103;965,4629761;13856,129
13,36950302;12,90001297;965,1852051;13856,62246
13,77314758;12,80001259;966,3889282;13800,85635
13,50405121;12,30001068;965;13855,63555
13,86284637;12,50001144;966,5740845;13847,73936
13,86284637;12,40001106;966,7592651;13891,66162
14,08709335;12,50001144;967,1296265;13841,32383
14,35619354;12,60001183;967,9629639;13811,22021
13,99739456;12,50001144;967,0370483;13809,2459
12,74160767;11,90000916;967,4999756;13866,98623
11,35127258;10,10000229;967,4074097;14082,154
10,36458206;8,899997711;967,5;14162,59521
21,21817017;17,10002899;977,3148193;13476,62363
20,72482681;17,20002937;977,0370483;13503,7665
20,67997742;17,20002937;976,2963135;13499,81865
19,37934113;16,30002594;976,0185425;13594,07773
19,96238327;16,80002785;976,8518799;13519,06514
19,6932869;16,80002785;975,7407715;13551,14307
19,55873871;16,70002747;975,5555908;13555,58467
19,51388931;16,60002708;974,6296631;13556,57168
17,94415665;16,0000248;974,5370361;13614,31162
17,76475525;15,80002403;973,3333374;13627,63652
17,40596008;15,70002365;972,9629517;13629,11689
17,09201431;15,50002289;973,1481079;13643,42822
17,09201431;15,40002251;972,1296143;13642,93516
16,77806854;15,40002251;972,5925659;13640,96074
17,2714119;15,70002365;973,7036743;13632,57139
17,1817131;15,70002365;973,1481445;13634,05195
17,40596008;15,60002327;973,1481201;13669,09092
17,63020706;15,70002365;974,8148193;13645,40254
18,88599396;16,40002632;974,0740601;13524,9874
20,32118225;16,90002823;975,4629639;13465,27334
21,35271835;17,20002937;975,2777832;13388,28643
22,38425827;17,40003014;976,6666748;13336,46846
22,65335464;18,10003281;977,1296265;13277,24795
22,96730423;18,00003242;978,3333374;13283,66357
23,72974396;18,40003395;978,2407349;13225,92354
23,95399475;18,50003433;979,2593018;13244,67666
24,5370369;18,50003433;979,3518677;13206,67686
25,47887802;18,80003548;978,4259155;13169,66416
26,01707077;19,00003624;974,9074097;13122,2875
26,68981552;19,30003738;977,5926025;13106,00176
27,81105423;19,10003662;977,3148315;13166,20938
26,42071915;18,7000351;976,8518677;13131,17041
26,24131775;18,40003395;976,3888794;13128,70303
26,46556854;18,50003433;975,7407471;13121,79385
26,9589119;18,7000351;972,4073975;13096,13164
27,04861069;18,60003471;976,6666748;13079,84619
27,04861069;18,60003471;975,7407349;13081,32666
27,58680725;18,90003586;975,1851563;13085,2748
27,27285767;19,10003662;974,9999878;13066,52158
26,28616714;18,90003586;971,9444092;13090,70322
25,03038025;18,90003586;970,2777466;13141,04092
24,08854294;18,40003395;970,1851685;13161,76797
24,22309113;18,50003433;972,3148071;13217,04053
23,3260994;18,20003319;972,9629517;13273,79316
22,16001129;17,80003166;972,5925781;13317,22207
21,71151733;17,70003128;971,6666382;13329,06582
21,53211975;17,6000309;971,6666626;13355,22178
21,39756775;17,6000309;972,7777832;13363,61152
20,45573044;17,30002975;973,8888916;13394,70215
20,09693146;17,00002861;970,7407104;13427,7667
19,78298569;16,70002747;971,1110962;13479,09141
19,6035881;16,80002785;970,7407349;13444,05234
19,06539536;16,40002632;969,6296265;13476,13018
18,88599396;16,40002632;970,7407349;13513,63662
17,49565887;15,80002403;971,2962769;13525,48076
17,85445786;16,10002518;970,6481323;13518,07822
17,49565887;15,80002403;968,9814819;13556,57168
17,63020706;15,90002441;969,5370483;13547,68877
16,55381775;15,20002174;967,9629761;13598,02607
16,41926956;15,20002174;968,7037354;13552,62354
16,32957077;15,10002136;967,5926025;13573,35059
16,10532379;15,10002136;968,1481445;13581,74033
16,10532379;14,9000206;969,9999878;13577,79248
16,10532379;14,9000206;969,5370361;13605,42861
15,83622742;14,70001984;969,1666748;13616,28564
15,88107681;14,70001984;968,5185181;13628,12979
16,68836975;15,30002213;969,3518677;13596,54551
19,19994354;16,90002823;970,555542;13466,75371
20,859375;17,70003128;970,6480957;13337,45547
22,20486069;18,00003242;971,7592407;13318,70225
22,47395706;17,90003204;973,5184937;13271,81924
22,92245483;18,10003281;975,277771;13207,66377
23,81944275;18,20003319;976,2963013;13203,71582
25,16493225;18,60003471;976,4814697;13166,70293
25,38917923;18,30003357;974,8147949;13126,23555
25,7479744;18,7000351;973,7036865;13107,97578
26,64496613;19,10003662;973,6111084;13050,23584
26,82436371;19,00003624;974,1666382;13049,24902
28,79774475;19,40003777;973,7036621;12994,46982
28,48379517;19,00003624;974,1666504;13009,76855
28,43894577;18,80003548;974,5370239;13067,5085
29,60503387;19,00003624;972,4999756;12977,19697
29,3807869;19,00003624;974,5370239;13011,74258
29,24623871;18,80003548;973,7036621;13005,82051
28,93229294;18,50003433;972,0369995;13008,28809
29,2910881;18,80003548;972,8703247;12991,01504
28,79774475;18,7000351;973,2407349;13049,24893
27,63165665;18,30003357;970,6481323;13077,87197
26,60011673;18,00003242;969,6295898;13134,6249
25,29948044;17,80003166;972,3148071;13211,11885
23,37094879;17,40003014;971,1111084;13310,80645
24,26794052;17,50003052;971,3888916;13268,36465
23,01215363;17,10002899;971,1111084;13375,45557
22,33940887;17,00002861;971,1110718;13349,2998
